path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-0055,TP-EXT-PL-E5EACE-AUTO-INT-01,SYS-DA4-3B2A,TP-EXT-PL-E5EACE-AUTO-INT-01>EXT-PL-E5EACE>SYS-DA4-3B2A,1,0.343,1,High,2026-05-20T05:30:42.887Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA4-3B2A
AP-0056,TP-EXT-PL-E5EACE-AUTO-INT-01,SYS-DA5-8760,TP-EXT-PL-E5EACE-AUTO-INT-01>EXT-PL-E5EACE>SYS-DA5-8760,1,0.343,1,High,2026-05-20T05:30:42.887Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA5-8760
AP-0057,TP-EXT-PL-EDB44F-AUTO-ING-01,SYS-DA6-896E,TP-EXT-PL-EDB44F-AUTO-ING-01>EXT-PL-EDB44F>SYS-DA6-896E,1,0.343,1,High,2026-05-20T05:30:42.888Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA6-896E
AP-0058,TP-EXT-PL-EDB44F-AUTO-INT-01,SYS-DA6-896E,TP-EXT-PL-EDB44F-AUTO-INT-01>EXT-PL-EDB44F>SYS-DA6-896E,1,0.343,1,High,2026-05-20T05:30:42.888Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA6-896E
AP-0059,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA10-DEF7,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA10-DEF7,1,0.343,1,High,2026-05-20T05:30:42.893Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA10-DEF7
AP-0060,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA11-E135,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA11-E135,1,0.343,1,High,2026-05-20T05:30:42.893Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA11-E135
AP-0061,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA12-F55A,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA12-F55A,1,0.343,1,High,2026-05-20T05:30:42.894Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA12-F55A
AP-0062,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA13-917E,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA13-917E,1,0.343,1,High,2026-05-20T05:30:42.894Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA13-917E
AP-0063,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA14-9849,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA14-9849,1,0.343,1,High,2026-05-20T05:30:42.896Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA14-9849
AP-0064,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA15-5D9A,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA15-5D9A,1,0.343,1,High,2026-05-20T05:30:42.896Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA15-5D9A
AP-0065,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA16-7F94,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA16-7F94,1,0.343,1,High,2026-05-20T05:30:42.897Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA16-7F94
